session_id,user_id,timestamp,traffic_source,device_type,country,product_category,visited_site,viewed_product,added_to_cart,initiated_checkout,completed_purchase,page_views,session_duration_sec,cart_value,revenue,timestamp_parsed,hour_of_day,day_of_week,day_name,is_weekend,is_bounce,cart_abandoned,checkout_abandoned
SES_000001,USER_1177,2025-12-31T11:47:30.498Z,Facebook,Desktop,Australia,Home & Garden,1,1,0,0,0,8,204.0,0.0,0.0,2025-12-31 11:47:30.498000+00:00,11,2,Wednesday,0,0,0,0
SES_000002,USER_900,2025-12-27T02:22:57.772Z,Email,Tablet,Unknown,N/A,1,0,0,0,0,2,813.0,0.0,0.0,2025-12-27 02:22:57.772000+00:00,2,5,Saturday,1,0,0,0
SES_000003,USER_1481,2025-12-26T00:23:08.107Z,Email,Desktop,Unknown,N/A,1,0,0,0,0,3,867.0,0.0,0.0,2025-12-26 00:23:08.107000+00:00,0,4,Friday,0,0,0,0
SES_000004,USER_4,2025-12-17T09:05:35.276Z,Google,Desktop,Australia,Fashion,1,1,1,0,0,12,563.0,250.59,0.0,2025-12-17 09:05:35.276000+00:00,9,2,Wednesday,0,0,1,0
SES_000005,USER_5,2025-12-12T18:52:57.668Z,Organic Search,Mobile,Australia,Beauty,1,1,0,0,0,3,778.0,0.0,0.0,2025-12-12 18:52:57.668000+00:00,18,4,Friday,0,0,0,0
SES_000006,USER_6,2025-12-23T05:23:54.105Z,Email,Tablet,France,Books,1,1,1,0,0,13,1412.0,495.08,0.0,2025-12-23 05:23:54.105000+00:00,5,1,Tuesday,0,0,1,0
SES_000007,USER_7,2025-12-23T07:37:21.781Z,Google,Mobile,UK,N/A,1,0,0,0,0,1,1630.0,0.0,0.0,2025-12-23 07:37:21.781000+00:00,7,1,Tuesday,0,0,0,0
SES_000008,USER_32,2025-12-13T08:31:35.179Z,Email,Desktop,India,N/A,1,0,0,0,0,3,514.0,0.0,0.0,2025-12-13 08:31:35.179000+00:00,8,5,Saturday,1,0,0,0
SES_000009,USER_9,2025-12-15T06:18:02.597Z,Facebook,Mobile,India,Beauty,1,1,0,0,0,7,1236.0,0.0,0.0,2025-12-15 06:18:02.597000+00:00,6,0,Monday,0,0,0,0
SES_000010,USER_10,2025-12-06T21:44:57.959Z,Google,Desktop,Canada,Home & Garden,1,1,1,0,0,14,853.0,95.27,0.0,2025-12-06 21:44:57.959000+00:00,21,5,Saturday,1,0,1,0
SES_000011,USER_11,2025-12-25T14:58:09.862Z,Direct,Desktop,France,N/A,1,0,0,0,0,1,8.0,0.0,0.0,2025-12-25 14:58:09.862000+00:00,14,3,Thursday,0,1,0,0
SES_000012,USER_12,2025-12-08T14:32:47.318Z,Email,Tablet,France,Home & Garden,1,1,0,0,0,10,229.0,0.0,0.0,2025-12-08 14:32:47.318000+00:00,14,0,Monday,0,0,0,0
SES_000013,USER_13,2025-12-25T22:15:49.833Z,Direct,Tablet,Unknown,Beauty,1,1,0,0,0,10,1636.0,0.0,0.0,2025-12-25 22:15:49.833000+00:00,22,3,Thursday,0,0,0,0
SES_000014,USER_568,2025-12-12T06:10:08.253Z,Instagram,Tablet,Germany,N/A,1,0,0,0,0,1,1629.0,0.0,0.0,2025-12-12 06:10:08.253000+00:00,6,4,Friday,0,0,0,0
SES_000015,USER_910,2025-12-10T19:32:56.189Z,Direct,Tablet,Unknown,Toys,1,1,1,0,0,2,139.0,54.24,0.0,2025-12-10 19:32:56.189000+00:00,19,2,Wednesday,0,0,1,0
SES_000016,USER_16,2025-12-31T21:09:58.079Z,Organic Search,Desktop,Germany,Fashion,1,1,0,0,0,14,1779.0,0.0,0.0,2025-12-31 21:09:58.079000+00:00,21,2,Wednesday,0,0,0,0
SES_000017,USER_17,2025-12-03T01:55:59.298Z,Email,Mobile,Canada,N/A,1,0,0,0,0,1,1598.0,0.0,0.0,2025-12-03 01:55:59.298000+00:00,1,2,Wednesday,0,0,0,0
SES_000018,USER_18,2025-12-21T01:22:11.480Z,Email,Desktop,Unknown,Uncategorized,1,1,0,0,0,4,975.0,0.0,0.0,2025-12-21 01:22:11.480000+00:00,1,6,Sunday,1,0,0,0
SES_000019,USER_19,2025-12-02T01:43:05.641Z,Direct,Desktop,Australia,N/A,1,0,0,0,0,3,1220.0,0.0,0.0,2025-12-02 01:43:05.641000+00:00,1,1,Tuesday,0,0,0,0
SES_000020,USER_1132,2025-12-16T04:18:27.453Z,Google,Tablet,Canada,Sports,1,1,0,0,0,6,467.0,0.0,0.0,2025-12-16 04:18:27.453000+00:00,4,1,Tuesday,0,0,0,0
SES_000021,USER_21,2025-12-05T02:39:46.934Z,Organic Search,Desktop,UK,N/A,1,0,0,0,0,1,975.0,0.0,0.0,2025-12-05 02:39:46.934000+00:00,2,4,Friday,0,0,0,0
