session_id,user_id,timestamp,traffic_source,device_type,country,product_category,visited_site,viewed_product,added_to_cart,initiated_checkout,completed_purchase,page_views,session_duration_sec,cart_value,revenue
SES_000001,USER_1177,2025-12-31T11:47:30.498Z,Facebook,desktop,Australia,Home & Garden,Yes,Yes,No,No,No,8,204,0,0
SES_000002,USER_900,2025-12-27T02:22:57.772Z,Email,Tablet,,,Yes,No,No,No,No,2,813,0,N/A
SES_000003,USER_1481,2025-12-26T00:23:08.107Z,email,desktop,,,Yes,No,No,No,No,3,867,0,0
SES_000004,USER_4,2025-12-17T09:05:35.276Z,Google,desktop,Australia,Fashion,Yes,Yes,Yes,No,No,12,563,250.59,0
SES_000005,USER_5,2025-12-12T18:52:57.668Z,Organic Search,mobile,Australia,Beauty,Yes,Yes,No,No,No,3,778,0,0
SES_000006,USER_6,2025-12-23T05:23:54.105Z,Email,Tablet,France,Books,Yes,Yes,Yes,No,No,13,1412,495.08,0
SES_000007,USER_7,2025-12-23T07:37:21.781Z,Google,mobile,UK,,Yes,No,No,No,No,1,1630,0,0
SES_000008,USER_32,2025-12-13T08:31:35.179Z,email,desktop,India,,Yes,No,No,No,No,3,514,0,0
SES_000009,USER_9,2025-12-15T06:18:02.597Z,Facebook,Mobile,India,Beauty,Yes,Yes,No,No,No,7,1236,0,0
SES_000010,USER_10,2025-12-06T21:44:57.959Z,google,desktop,Canada,Home & Garden,Yes,Yes,Yes,No,No,14,853,95.27,0
SES_000011,USER_11,2025-12-25T14:58:09.862Z,Direct,desktop,France,,Yes,No,No,No,No,1,8,0,0
SES_000012,USER_12,2025-12-08T14:32:47.318Z,email,Tablet,France,Home & Garden,Yes,Yes,No,No,No,10,229,0,0
SES_000013,USER_13,2025-12-25T22:15:49.833Z,Direct,Tablet,,Beauty,Yes,Yes,No,No,No,10,1636,0,0
SES_000014,USER_568,2025-12-12T06:10:08.253Z,Instagram,Tablet,Germany,,Yes,No,No,No,No,1,1629,0,0
SES_000015,USER_910,2025-12-10T19:32:56.189Z,Direct,Tablet,,Toys,Yes,Yes,Yes,No,No,2,139,54.24,0
SES_000016,USER_16,2025-12-31T21:09:58.079Z,Organic Search,Desktop,Germany,Fashion,Yes,Yes,No,No,No,14,1779,0,0
SES_000017,USER_17,2025-12-03T01:55:59.298Z,email,mobile,Canada,,Yes,No,No,No,No,1,1598,0,0
SES_000018,USER_18,2025-12-21T01:22:11.480Z,Email,Desktop,,,Yes,Yes,No,No,No,4,,0,0
SES_000019,USER_19,2025-12-02T01:43:05.641Z,Direct,desktop,Australia,,Yes,No,No,No,No,3,1220,0,N/A
SES_000020,USER_1132,2025-12-16T04:18:27.453Z,google,Tablet,Canada,Sports,Yes,Yes,No,No,No,6,467,0,0
SES_000021,USER_21,2025-12-05T02:39:46.934Z,Organic Search,desktop,UK,,Yes,No,No,No,No,1,,0,0
SES_000022,USER_22,2025-12-31T16:03:59.645Z,Instagram,Desktop,Canada,Beauty,Yes,Yes,No,No,No,6,1530,0,0
SES_000023,USER_23,2025-12-15T21:14:40.526Z,Facebook,Tablet,UK,Beauty,Yes,Yes,Yes,No,No,5,600,301.07,0
SES_000024,USER_1019,2025-12-11T18:05:39.014Z,Instagram,,France,,Yes,No,No,No,No,3,1480,0,0
SES_000025,USER_25,2025-12-26T03:38:20.854Z,Email,Mobile,Germany,Fashion,Yes,Yes,No,No,No,10,218,0,0
SES_000026,USER_1864,2025-12-02T22:17:06.440Z,google,Desktop,France,Beauty,Yes,Yes,No,No,No,11,1496,0,0
SES_000027,USER_27,2025-12-19T00:46:12.207Z,google,Desktop,US,,Yes,No,No,No,No,2,9911,0,0
SES_000028,USER_28,2025-12-14T20:25:09.598Z,Organic Search,Tablet,US,,Yes,No,No,No,No,3,270,0,0
SES_000029,USER_29,2025-12-17T10:50:57.365Z,Email,Tablet,India,Electronics,Yes,Yes,Yes,No,No,9,1735,435.99,0
SES_000030,USER_1776,2025-12-17T13:34:10.886Z,Google,Tablet,,Beauty,Yes,Yes,No,No,No,4,36,0,0
SES_000031,USER_31,2025-12-23T08:25:16.291Z,Facebook,Tablet,Germany,Toys,Yes,Yes,No,No,No,9,1128,0,0
SES_000032,USER_32,2025-12-17T16:01:23.754Z,Facebook,mobile,USA,,Yes,Yes,Yes,No,No,7,1576,68.61,0
SES_000033,USER_33,2025-12-21T09:06:27.792Z,google,Tablet,US,Home & Garden,Yes,Yes,No,No,No,15,1091,0,0
SES_000034,USER_282,2025-12-27T06:42:54.463Z,Facebook,Desktop,USA,Electronics,Yes,Yes,No,No,No,5,1488,0,0
SES_000035,USER_35,2025-12-01T02:35:15.710Z,Instagram,mobile,India,Home & Garden,Yes,Yes,Yes,Yes,No,9,1670,125.27,0
SES_000036,USER_36,2025-12-04T02:50:47.224Z,Google,,France,Toys,Yes,Yes,Yes,No,No,13,345,243.78,0
SES_000037,USER_1811,2025-12-07T10:22:37.777Z,Google,desktop,Canada,Home & Garden,Yes,Yes,No,No,No,14,1567,0,0
SES_000038,USER_38,2025-12-13T12:04:25.892Z,Email,mobile,Canada,Fashion,Yes,Yes,No,No,No,4,873,0,0
SES_000039,USER_716,2025-12-31T09:27:21.989Z,Facebook,mobile,Australia,Sports,Yes,Yes,Yes,No,No,5,1737,86.28,0
SES_000040,USER_1168,2025-12-25T16:15:47.641Z,Google,mobile,Germany,Beauty,Yes,Yes,Yes,Yes,Yes,11,391,529.69,397.31
SES_000041,USER_41,2025-12-26T08:26:59.312Z,Email,mobile,US,Sports,Yes,Yes,No,No,No,14,1079,0,0
SES_000042,USER_141,2025-12-25T01:59:01.090Z,google,desktop,USA,,Yes,No,No,No,No,2,1363,0,0
